locus	losses	gains	losses.liver	gains.liver
10p11	3	3	4	9
10p12	4	3	4	10
10p13	4	4	6	10
10p14	4	4	5	10
10p15	4	3	6	10
10q11	6	2	10	3
10q21	7	3	14	2
10q22	9	3	14	4
10q23	9	3	15	4
10q24	9	2	17	4
10q25	10	2	20	4
10q26	9	3	14	5
11p11	2	4	9	12
11p12	2	4	9	13
11p13	2	4	9	12
11p14	2	5	9	14
11p15	2	6	8	18
11q11	7	3	4	9
11q12	7	4	6	14
11q13	8	5	8	16
11q14	9	4	12	13
11q21	9	4	13	9
11q22	9	4	14	9
11q23	10	4	16	13
11q24	9	4	11	13
11q25	9	4	11	12
12p11	2	9	4	16
12p12	3	10	5	18
12p13	2	9	2	17
12q11	7	9	1	13
12q12	7	10	3	18
12q13	7	10	4	19
12q14	7	10	5	13
12q15	7	10	5	12
12q21	8	10	6	14
12q22	7	9	8	11
12q23	8	9	7	12
12q24	8	10	8	14
13p11	0	4	0	9
13q11	0	35	1	40
13q12	1	37	2	51
13q13	1	38	3	52
13q14	1	38	4	50
13q21	2	40	4	48
13q22	1	40	5	47
13q31	2	40	6	48
13q32	2	39	5	50
13q33	2	38	3	50
13q34	1	37	2	49
14p11	0	0	1	1
14q11	9	2	16	4
14q12	10	3	22	4
14q13	10	3	22	4
14q21	10	3	24	4
14q22	10	3	22	4
14q23	11	2	24	4
14q24	12	3	24	6
14q31	11	3	23	8
14q32	11	3	20	8
15p11	3	1	1	0
15q11	13	2	18	9
15q12	13	2	20	9
15q13	14	2	24	9
15q14	15	3	27	9
15q15	14	3	22	9
15q21	14	3	24	9
15q22	13	3	23	10
15q23	13	3	20	12
15q24	14	3	22	12
15q25	13	3	19	12
15q26	12	3	17	12
16p11	7	7	6	24
16p12	7	9	9	24
16p13	7	9	9	27
16q11	4	5	1	23
16q12	4	5	2	24
16q13	4	5	3	23
16q21	4	6	4	22
16q22	5	7	4	23
16q23	5	7	4	23
16q24	5	7	4	23
17p11	27	4	26	6
17p12	29	3	30	5
17p13	28	3	29	4
17q11	8	6	6	17
17q12	8	7	7	20
17q21	8	9	6	23
17q22	9	8	6	18
17q23	9	9	6	16
17q24	9	8	6	17
17q25	8	8	5	17
18p11	25	2	47	4
18q11	45	2	58	3
18q12	48	2	67	2
18q21	50	1	68	0
18q22	50	1	68	1
18q23	48	1	63	0
19p11	5	8	0	12
19p12	5	8	0	12
19p13	7	10	4	24
19q11	4	8	0	10
19q12	4	8	0	11
19q13	6	9	3	24
1p11	8	2	5	0
1p12	9	3	12	2
1p13	10	3	19	3
1p21	11	3	22	1
1p22	12	2	22	2
1p31	13	3	20	4
1p32	11	2	13	7
1p33	11	2	9	8
1p34	12	3	12	6
1p35	12	2	14	6
1p36	13	3	17	6
1q11	2	6	1	9
1q12	2	7	1	8
1q21	2	9	1	15
1q22	2	8	1	16
1q23	2	8	1	19
1q24	2	9	1	17
1q25	2	9	1	17
1q31	2	9	4	16
1q32	2	8	4	15
1q41	3	8	3	15
1q42	3	8	2	13
1q43	3	8	3	14
1q44	2	8	3	13
20p11	3	27	4	47
20p12	3	26	9	39
20p13	3	25	8	35
20q11	3	49	0	72
20q12	3	50	1	73
20q13	3	50	1	75
21p11	0	1	1	1
21q11	10	3	12	7
21q21	13	3	15	9
21q22	12	3	13	10
22p11	3	1	2	1
22q11	11	4	14	10
22q12	11	4	15	12
22q13	13	4	17	14
2p11	2	4	0	10
2p12	2	4	1	11
2p13	2	4	2	9
2p14	2	4	2	9
2p15	2	4	2	9
2p16	2	4	2	9
2p21	2	4	2	9
2p22	3	4	4	11
2p23	3	5	5	9
2p24	3	5	4	10
2p25	2	5	3	9
2q11	1	7	1	8
2q12	1	7	2	8
2q13	2	6	3	8
2q14	2	7	4	8
2q21	2	7	4	7
2q22	2	8	6	7
2q23	2	8	6	6
2q24	3	9	6	9
2q31	3	8	5	9
2q32	2	9	5	12
2q33	2	8	5	11
2q34	2	8	5	9
2q35	2	8	4	9
2q36	2	7	2	9
2q37	2	7	3	10
3p11	4	3	7	3
3p12	4	4	9	4
3p13	5	3	8	3
3p14	5	4	9	3
3p21	5	4	11	4
3p22	5	4	9	4
3p23	5	4	8	5
3p24	6	4	9	6
3p25	6	4	8	6
3p26	6	4	7	6
3q11	3	6	6	5
3q12	3	6	6	6
3q13	3	6	8	6
3q21	2	5	6	6
3q22	2	6	4	7
3q23	2	7	6	7
3q24	2	7	8	8
3q25	2	7	9	7
3q26	2	8	9	7
3q27	2	7	4	5
3q28	2	7	5	5
3q29	2	7	4	5
4p11	11	2	27	2
4p12	12	3	30	2
4p13	13	2	32	2
4p14	14	3	34	3
4p15	15	3	40	1
4p16	14	2	32	5
4q11	11	4	24	4
4q12	11	5	26	4
4q13	12	5	29	5
4q21	12	5	30	6
4q22	13	5	32	3
4q23	13	4	32	2
4q24	13	4	32	2
4q25	13	4	30	2
4q26	13	4	32	2
4q27	13	4	33	2
4q28	13	4	33	3
4q31	14	3	34	3
4q32	14	3	39	2
4q33	14	3	40	2
4q34	14	3	40	2
4q35	14	3	37	2
5p11	3	6	4	6
5p12	4	8	6	9
5p13	4	9	9	9
5p14	6	10	14	10
5p15	6	10	13	9
5q11	9	6	12	4
5q12	10	5	15	4
5q13	11	4	20	1
5q14	13	5	22	5
5q15	13	5	23	5
5q21	14	6	26	6
5q22	13	5	22	7
5q23	13	5	22	8
5q31	11	6	16	8
5q32	10	5	14	7
5q33	10	5	17	7
5q34	10	4	17	7
5q35	9	4	14	7
6p11	2	7	2	19
6p12	2	7	2	24
6p21	2	9	1	27
6p22	3	8	4	23
6p23	3	7	4	23
6p24	2	8	4	24
6p25	2	8	4	22
6q11	4	8	4	12
6q12	4	8	9	15
6q13	4	8	9	14
6q14	4	9	10	14
6q15	4	8	9	13
6q16	5	9	10	14
6q21	5	9	10	15
6q22	5	9	11	14
6q23	4	8	11	14
6q24	4	8	10	14
6q25	5	7	12	14
6q26	4	7	12	13
6q27	3	7	9	13
7p11	1	27	0	47
7p12	1	28	0	47
7p13	1	28	0	45
7p14	1	28	0	46
7p15	1	29	0	46
7p21	1	29	0	50
7p22	1	28	0	45
7q11	1	26	1	37
7q21	1	26	1	35
7q22	1	25	2	34
7q31	1	26	4	29
7q32	1	24	2	29
7q33	1	25	1	29
7q34	2	25	1	27
7q35	2	25	1	27
7q36	2	25	1	27
8p11	15	3	21	21
8p12	18	3	42	12
8p21	24	3	56	5
8p22	24	4	61	4
8p23	23	3	58	4
8q11	2	25	3	45
8q12	3	27	4	45
8q13	2	28	5	47
8q21	3	30	4	50
8q22	2	31	3	48
8q23	2	34	3	51
8q24	3	33	2	53
9p11	5	3	9	6
9p12	6	5	14	9
9p13	6	5	13	9
9p21	6	6	17	9
9p22	6	6	14	9
9p23	7	7	14	9
9p24	6	6	14	10
9q11	4	3	1	5
9q12	4	3	2	6
9q13	5	5	6	9
9q21	5	5	8	10
9q22	4	4	5	11
9q31	4	4	6	9
9q32	4	4	6	11
9q33	5	4	8	12
9q34	4	5	8	14
Xp11	2	16	6	29
Xp21	2	15	8	26
Xp22	2	14	6	27
Xq11	2	15	5	27
Xq12	3	15	5	27
Xq13	3	15	5	29
Xq21	3	15	6	30
Xq22	3	15	6	27
Xq23	3	15	6	25
Xq24	3	15	5	25
Xq25	3	15	5	25
Xq26	3	14	5	24
Xq27	3	14	5	26
Xq28	3	14	4	24
