array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
01-1-015-1	01-1-015-1	called	0.56	2.15	0	0.27	15	0.58	0.04	2.14958075308192	0
01-1-010-1	01-1-010-1	called	0.57	5.62	0	0.14	37	0.79	0	5.77927167222456	0
01-1-040-1	01-1-040-1	called	0.36	2.69	0	0.16	31	0.44	0.01	2.86191878517082	0
01-1-027-2	01-1-027-2	called	0.66	2.87	0	0.26	16	0.74	0.02	2.73269760540043	0
01-2-010-1	01-2-010-1	called	0.24	4.88	0	0.09	61	0.43	0	4.78760329237808	0
01-2-014-1	01-2-014-1	called	0.28	5.65	0	0.09	58	0.52	0.01	5.56264398773775	0
01-2-049-1	01-2-049-1	called	0.22	5.85	0	0.08	69	0.46	0.03	5.41416922662458	0
01-1-048-1	01-1-048-1	called	0.61	4.03	0	0.19	25	0.76	0.02	3.90523487038489	0
01-2-029-2	01-2-029-2	called	0.3	2.62	0	0.14	38	0.36	0	2.58144353580478	0
01-2-049-17	01-2-049-17	called	0.51	4.55	0	0.15	33	0.7	0.01	4.34461140010839	0
01-2-029-4	01-2-029-4	called	0.41	4.45	0	0.14	39	0.6	0	4.55262358186471	0
01-1-046-2	01-1-046-2	called	0.56	5.34	0	0.14	36	0.77	0	5.59312766091036	0
01-3-021-1	01-3-021-1	called	0.29	2.18	0	0.14	37	0.31	0	2.29461647627092	0
01-2-049-6	01-2-049-6	called	0.69	5.17	0	0.16	31	0.85	0.09	4.73814928307979	0
01-1-009-1	01-1-009-1	called	0.75	4.24	0	0.2	20	0.86	0.03	4.13371744664665	0
01-1-029-2	01-1-029-2	called	0.37	4.52	0	0.13	42	0.57	0	4.47220279188152	0
01-2-007-4	01-2-007-4	called	0.35	4.21	0	0.13	42	0.53	0	4.40973175278653	0
01-2-049-9	01-2-049-9	called	0.22	5.45	0	0.08	69	0.43	0.08	4.77650576713964	0
01-1-043-2	01-1-043-2	called	0.4	4.28	0	0.14	38	0.59	0.01	4.43343365935839	0
01-2-050-1	01-2-050-1	called	0.3	5.93	0	0.09	57	0.56	0	5.44018931370734	0
01-1-014-2	01-1-014-2	called	0.61	3.45	0	0.21	20	0.73	0.05	3.47393950895063	0
01-2-049-14	01-2-049-14	called	0.69	2.42	0	0.3	13	0.73	0.09	2.39956928138968	0
01-2-049-26	01-2-049-26	called	0.28	4.88	0	0.1	54	0.48	0.01	4.45252437447351	0
01-1-021-2	01-1-021-2	called	0.46	4.63	0	0.14	36	0.66	0.01	4.54707675944365	0
01-1-013-1	01-1-013-1	called	0.35	5.28	0	0.11	48	0.59	0	5.57991964769015	0
01-2-021-1	01-2-021-1	called	0.42	4.55	0	0.14	38	0.63	0.01	4.4458194227749	0
01-1-045-1	01-1-045-1	called	0.34	4.95	0	0.11	47	0.56	0.02	5.14425769467745	0
01-1-049-1	01-1-049-1	called	0.25	5.26	0	0.09	62	0.46	0.01	5.22508575680067	0
01-1-050-FFPE	01-1-050-FFPE	high entropy	0.24	5.69	0	0.08	65	0.48	0	5.11149693600066	0
