array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
01-1-015-1	01-1-015-1	called	0.77	3.15	0	0.27	15	0.84	0.04	3.14447395689912	0
01-1-029-2	01-1-029-2	called	0.33	2.52	0	0.15	34	0.39	0	2.46555263172895	0
01-1-027-2	01-1-027-2	called	0.68	2.85	0	0.26	16	0.75	0.04	2.71527953403824	0
01-2-049-9	01-2-049-9	called	0.26	6.33	0	0.08	64	0.53	0.03	5.79302986080074	0
01-2-029-4	01-2-029-4	called	0.32	4.46	0	0.12	46	0.52	0	4.508991582401	0
01-2-007-4	01-2-007-4	called	0.5	2.04	0	0.25	17	0.5	0.02	2.0889372560763	0
01-2-049-1	01-2-049-1	called	0.22	5.85	0	0.08	69	0.46	0.03	5.41416922662458	0
01-2-049-14	01-2-049-14	called	0.74	2.44	0	0.32	13	0.77	0.06	2.28316617819929	0
01-2-014-1	01-2-014-1	called	0.27	5.69	0	0.09	60	0.51	0.01	5.62181995412722	0
01-1-048-1	01-1-048-1	called	0.68	4	0	0.2	21	0.81	0.03	3.84531855502014	0
01-2-049-6	01-2-049-6	called	0.52	4.18	0	0.17	30	0.69	0.08	3.74163407106496	0
01-1-009-1	01-1-009-1	called	1	2.09	0	0.48	8	1	0.09	2.05443321064389	0
01-1-046-2	01-1-046-2	called	0.27	4.93	0	0.1	56	0.48	0	5.18956621169255	0
01-1-049-1	01-1-049-1	called	0.44	3.55	0	0.17	30	0.59	0.01	3.60516398501606	0
01-2-050-1	01-2-050-1	called	0.33	3.79	0	0.13	42	0.48	0	3.35849280629364	0
01-1-043-2	01-1-043-2	called	0.32	4.36	0	0.12	46	0.5	0	4.46672486077783	0
01-1-050-FFPE	01-1-050-FFPE	called	0.26	2.75	0	0.12	45	0.33	0	2.42547454929152	0
01-1-040-1	01-1-040-1	called	0.31	3.43	0	0.13	42	0.43	0	3.83232324433634	0
01-1-014-2	01-1-014-2	called	0.48	3.57	0	0.17	28	0.62	0.02	3.66183555847363	0
01-2-049-17	01-2-049-17	called	0.33	3.58	0	0.13	40	0.47	0.02	3.32507524451879	0
01-1-010-1	01-1-010-1	called	0.69	4.82	0	0.18	28	0.85	0.02	4.99022535717521	0
01-1-021-2	01-1-021-2	called	0.32	5.48	0	0.1	52	0.56	0	5.42046445588079	0
01-3-021-1	01-3-021-1	called	0.24	2.22	0	0.12	46	0.26	0	2.50185967211565	0
01-1-045-1	01-1-045-1	called	0.3	4.94	0	0.1	52	0.51	0.02	5.13496759421006	0
01-2-029-2	01-2-029-2	called	0.29	3.35	0	0.12	44	0.4	0	3.56976380413217	0
01-2-049-26	01-2-049-26	called	0.25	3.86	0	0.1	53	0.39	0.02	3.41558490108907	0
01-1-013-1	01-1-013-1	called	0.35	5.28	0	0.11	48	0.59	0	5.57991964769015	0
01-2-010-1	01-2-010-1	called	0.31	4.44	0	0.11	48	0.49	0	4.37825442620239	0
01-2-021-1	01-2-021-1	high entropy	0.45	3.97	0	0.16	33	0.62	0.02	3.94308810401314	0
