chr	start	end	band
1	0	28000000	p36
1	28000000	34600000	p35
1	34600000	46800000	p34
1	46800000	50700000	p33
1	50700000	61300000	p32
1	61300000	84900000	p31
1	84900000	94700000	p22
1	94700000	107200000	p21
1	107200000	117800000	p13
1	117800000	120600000	p12
1	120600000	125000000	p11
1	125000000	128900000	q11
1	128900000	142600000	q12
1	142600000	155000000	q21
1	155000000	156500000	q22
1	156500000	165500000	q23
1	165500000	172900000	q24
1	172900000	185800000	q25
1	185800000	198700000	q31
1	198700000	214500000	q32
1	214500000	224100000	q41
1	224100000	236600000	q42
1	236600000	243700000	q43
1	243700000	249250621	q44
10	0	6600000	p15
10	6600000	12200000	p14
10	12200000	17300000	p13
10	17300000	29600000	p12
10	29600000	40200000	p11
10	40200000	52900000	q11
10	52900000	70600000	q21
10	70600000	82000000	q22
10	82000000	97000000	q23
10	97000000	105800000	q24
10	105800000	119100000	q25
10	119100000	135534747	q26
11	0	21700000	p15
11	21700000	31000000	p14
11	31000000	36400000	p13
11	36400000	43500000	p12
11	43500000	53700000	p11
11	53700000	55700000	q11
11	55700000	63400000	q12
11	63400000	77100000	q13
11	77100000	92800000	q14
11	92800000	97200000	q21
11	97200000	110400000	q22
11	110400000	121200000	q23
11	121200000	130800000	q24
11	130800000	135006516	q25
12	0	14800000	p13
12	14800000	26500000	p12
12	26500000	35800000	p11
12	35800000	38200000	q11
12	38200000	46400000	q12
12	46400000	58100000	q13
12	58100000	67700000	q14
12	67700000	71500000	q15
12	71500000	92600000	q21
12	92600000	96200000	q22
12	96200000	109000000	q23
12	109000000	133851895	q24
13	0	4500000	p13
13	4500000	10000000	p12
13	10000000	17900000	p11
13	17900000	19500000	q11
13	19500000	32200000	q12
13	32200000	40100000	q13
13	40100000	55300000	q14
13	55300000	73300000	q21
13	73300000	79000000	q22
13	79000000	95000000	q31
13	95000000	101700000	q32
13	101700000	110300000	q33
13	110300000	115169878	q34
14	0	3700000	p13
14	3700000	8100000	p12
14	8100000	17600000	p11
14	17600000	24600000	q11
14	24600000	33300000	q12
14	33300000	37800000	q13
14	37800000	50900000	q21
14	50900000	58100000	q22
14	58100000	67900000	q23
14	67900000	79300000	q24
14	79300000	89800000	q31
14	89800000	107349540	q32
15	0	3900000	p13
15	3900000	8700000	p12
15	8700000	19000000	p11
15	19000000	25700000	q11
15	25700000	28100000	q12
15	28100000	33600000	q13
15	33600000	40100000	q14
15	40100000	44800000	q15
15	44800000	59100000	q21
15	59100000	67500000	q22
15	67500000	72700000	q23
15	72700000	78300000	q24
15	78300000	89100000	q25
15	89100000	102531392	q26
16	0	16800000	p13
16	16800000	28100000	p12
16	28100000	36600000	p11
16	36600000	47000000	q11
16	47000000	56700000	q12
16	56700000	57400000	q13
16	57400000	66700000	q21
16	66700000	74100000	q22
16	74100000	84200000	q23
16	84200000	90354753	q24
17	0	10700000	p13
17	10700000	16000000	p12
17	16000000	24000000	p11
17	24000000	31800000	q11
17	31800000	38100000	q12
17	38100000	50200000	q21
17	50200000	57600000	q22
17	57600000	62600000	q23
17	62600000	70900000	q24
17	70900000	81195210	q25
18	0	17200000	p11
18	17200000	25000000	q11
18	25000000	43500000	q12
18	43500000	61600000	q21
18	61600000	73100000	q22
18	73100000	78077248	q23
19	0	20000000	p13
19	20000000	24400000	p12
19	24400000	26500000	p11
19	26500000	28600000	q11
19	28600000	32400000	q12
19	32400000	59128983	q13
2	0	12200000	p25
2	12200000	24000000	p24
2	24000000	32100000	p23
2	32100000	41800000	p22
2	41800000	47800000	p21
2	47800000	61300000	p16
2	61300000	64100000	p15
2	64100000	68600000	p14
2	68600000	75000000	p13
2	75000000	83300000	p12
2	83300000	93300000	p11
2	93300000	102700000	q11
2	102700000	110200000	q12
2	110200000	114400000	q13
2	114400000	129900000	q14
2	129900000	136800000	q21
2	136800000	148700000	q22
2	148700000	154900000	q23
2	154900000	169700000	q24
2	169700000	183000000	q31
2	183000000	197400000	q32
2	197400000	209000000	q33
2	209000000	215300000	q34
2	215300000	221500000	q35
2	221500000	231000000	q36
2	231000000	243199373	q37
20	0	5100000	p13
20	5100000	17900000	p12
20	17900000	27500000	p11
20	27500000	37600000	q11
20	37600000	41700000	q12
20	41700000	63025520	q13
21	0	2800000	p13
21	2800000	6800000	p12
21	6800000	13200000	p11
21	13200000	16400000	q11
21	16400000	31500000	q21
21	31500000	48129895	q22
22	0	3800000	p13
22	3800000	8300000	p12
22	8300000	14700000	p11
22	14700000	25900000	q11
22	25900000	37600000	q12
22	37600000	51304566	q13
3	0	8700000	p26
3	8700000	16400000	p25
3	16400000	30900000	p24
3	30900000	32100000	p23
3	32100000	43700000	p22
3	43700000	54400000	p21
3	54400000	69800000	p14
3	69800000	74200000	p13
3	74200000	87200000	p12
3	87200000	91000000	p11
3	91000000	98300000	q11
3	98300000	102800000	q12
3	102800000	121900000	q13
3	121900000	129200000	q21
3	129200000	138700000	q22
3	138700000	142800000	q23
3	142800000	148900000	q24
3	148900000	160700000	q25
3	160700000	182700000	q26
3	182700000	187900000	q27
3	187900000	192300000	q28
3	192300000	198022430	q29
4	0	11300000	p16
4	11300000	35800000	p15
4	35800000	41200000	p14
4	41200000	44600000	p13
4	44600000	48200000	p12
4	48200000	50400000	p11
4	50400000	52700000	q11
4	52700000	59500000	q12
4	59500000	76300000	q13
4	76300000	88000000	q21
4	88000000	98800000	q22
4	98800000	101100000	q23
4	101100000	107700000	q24
4	107700000	114100000	q25
4	114100000	120800000	q26
4	120800000	123800000	q27
4	123800000	139500000	q28
4	139500000	155600000	q31
4	155600000	170100000	q32
4	170100000	171900000	q33
4	171900000	183200000	q34
4	183200000	191154276	q35
5	0	18400000	p15
5	18400000	28900000	p14
5	28900000	42500000	p13
5	42500000	46100000	p12
5	46100000	48400000	p11
5	48400000	58900000	q11
5	58900000	66700000	q12
5	66700000	76900000	q13
5	76900000	92300000	q14
5	92300000	98200000	q15
5	98200000	109600000	q21
5	109600000	115200000	q22
5	115200000	130600000	q23
5	130600000	144500000	q31
5	144500000	149800000	q32
5	149800000	159900000	q33
5	159900000	168500000	q34
5	168500000	180915260	q35
6	0	7100000	p25
6	7100000	13400000	p24
6	13400000	15200000	p23
6	15200000	30400000	p22
6	30400000	46200000	p21
6	46200000	57000000	p12
6	57000000	61000000	p11
6	61000000	63400000	q11
6	63400000	70000000	q12
6	70000000	75900000	q13
6	75900000	88000000	q14
6	88000000	93100000	q15
6	93100000	105500000	q16
6	105500000	114600000	q21
6	114600000	130300000	q22
6	130300000	139000000	q23
6	139000000	149000000	q24
6	149000000	161000000	q25
6	161000000	164500000	q26
6	164500000	171115067	q27
7	0	7300000	p22
7	7300000	20900000	p21
7	20900000	28800000	p15
7	28800000	43300000	p14
7	43300000	45400000	p13
7	45400000	54000000	p12
7	54000000	59900000	p11
7	59900000	77500000	q11
7	77500000	98000000	q21
7	98000000	107400000	q22
7	107400000	127100000	q31
7	127100000	132600000	q32
7	132600000	138200000	q33
7	138200000	143100000	q34
7	143100000	147900000	q35
7	147900000	159138663	q36
8	0	12700000	p23
8	12700000	19000000	p22
8	19000000	28800000	p21
8	28800000	36500000	p12
8	36500000	45600000	p11
8	45600000	55500000	q11
