Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	742429	6398273	556	0.0109732151031494
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	6424383	8651565	205	-0.182023704051971
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	8663988	8936579	19	0.285046458244324
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	8949978	19968875	1096	-0.216760993003845
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	20001532	23308125	378	0.095556139945984
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	23318038	32957223	777	-0.220309913158417
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	33005810	33096723	5	-0.657043278217316
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	33098759	44765301	1184	-0.205783128738403
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	44770377	44770377	1	-2.09160375595093
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	44771051	44771051	1	0.891634464263916
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	44788867	48056742	296	-0.181621968746185
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	48058355	51610325	243	0.124199628829956
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	51782791	77278805	2505	-0.145854234695435
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	77279618	77281339	3	0.800809860229492
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	77317331	84099802	508	-0.0925835371017456
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	84104961	84517195	36	0.521425426006317
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	84517687	94363527	875	-0.122621476650238
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	94370182	94730966	35	0.487130522727966
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	94794748	103514336	692	-0.102939039468765
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	103514567	107696599	154	-0.563626527786255
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	107727573	145279761	1468	-0.155136525630951
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	145287950	145287960	2	-1.13061887025833
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	145321460	148693033	85	-0.128844022750854
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	148722478	148936576	9	0.463772416114807
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	148994018	163918561	1560	-0.102278351783752
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	163921475	163921493	2	0.786579251289368
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	163933072	184671023	2090	-0.0915257036685944
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	184722746	184722959	2	-6.16299486160278
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	184732519	199124397	767	0.263788938522339
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	199137839	200294282	197	0.0366964340209961
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	200298858	200672294	45	0.300437808036804
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	200695483	201596270	125	-0.00207620859146118
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	201597343	203315239	241	0.509747505187988
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	203319773	210575628	761	0.330536246299744
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	210592636	215251266	488	0.666491270065308
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	215266356	215991112	79	0.387090682983398
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	216017217	221661593	497	0.873764276504517
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	221677656	233142787	1248	0.0864081978797913
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	233142922	240369980	638	0.318410336971283
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	1	240373727	247135059	465	0.545682787895203
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	2994	3771940	380	-0.123833417892456
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	3772571	3772771	2	-2.34476447105408
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	3790591	37910455	3477	-0.0750683546066284
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	37918098	62667670	2240	0.252664506435394
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	62676395	63650722	24	0.617272853851318
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	63694617	89820789	1990	-0.0330916941165924
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	94722526	95698124	14	0.789310097694397
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	95743856	103839175	593	0.106839537620544
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	104001357	104315343	11	0.94391906261444
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	104316535	106042475	209	0.342085003852844
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	106045187	115124647	643	0.149809956550598
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	115188560	133636432	1583	-0.125697553157806
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	133649932	133650312	2	2.12273395061493
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	133667131	137312015	324	-0.170859336853027
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	137318808	152915010	973	-0.0594947338104248
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	152934045	153022450	8	-0.647913783788681
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	153032878	165948264	775	-0.0167096853256226
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	165967223	166632718	35	0.557933568954468
DRAWS_p_Sty11_Mapping250K_Sty_A01_66524	2	166633217	177073200	872	-0.0683719515800476
